Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
11/9/17,111.8,112.2219,110.93,112.14,4212723,0,1,111.8,112.2219,110.93,112.14,4212723
11/8/17,112.01,112.905,111.82,112.47,4417824,0,1,112.01,112.905,111.82,112.47,4417824
11/7/17,112.25,112.469,111.56,112.09,3697908,0,1,112.25,112.469,111.56,112.09,3697908
11/6/17,111.36,112.15,111.2,111.92,4094744,0,1,111.36,112.15,111.2,111.92,4094744
11/3/17,110.94,111.42,110.505,111.36,3758083,0,1,110.94,111.42,110.505,111.36,3758083
11/2/17,111.02,111.37,110.2,110.98,5506457,0,1,111.02,111.37,110.2,110.98,5506457
11/1/17,110.5,111.4,110.42,111.07,6167261,0,1,110.5,111.4,110.42,111.07,6167261
10/31/17,110.58,110.69,108.66,109.98,8002479,0,1,110.58,110.69,108.66,109.98,8002479
10/30/17,109.67,110.235,108.92,110.04,5147548,0,1,109.67,110.235,108.92,110.04,5147548
10/27/17,110.07,110.13,108.69,109.71,7862681,0,1,110.07,110.13,108.69,109.71,7862681
10/26/17,110.38,110.74,109.67,109.8,7379895,0,1,110.38,110.74,109.67,109.8,7379895
10/25/17,109.41,110.61,108,109.55,12208648,0,1,109.41,110.61,108,109.55,12208648
10/24/17,107.56,108.64,107.18,108.41,10487743,0,1,107.56,108.64,107.18,108.41,10487743
10/23/17,108.05,108.23,107.095,107.53,6316511,0,1,108.05,108.23,107.095,107.53,6316511
10/20/17,107.7,107.7,106.97,107.55,7848922,0,1,107.7,107.7,106.97,107.55,7848922
10/19/17,107.27,107.78,106.9,107.02,10837631,0,1,107.27,107.78,106.9,107.02,10837631
10/18/17,107.62,108,107.46,107.8,4817276,0,1,107.62,108,107.46,107.8,4817276
10/17/17,108.25,108.42,107.3,107.54,5979395,0,1,108.25,108.42,107.3,107.54,5979395
10/16/17,108.79,109.05,107.16,108.3,5552165,0,1,108.79,109.05,107.16,108.3,5552165
10/13/17,108.5,109.26,108.4,108.66,5154428,0,1,108.5,109.26,108.4,108.66,5154428
10/12/17,108.5,108.71,107.9,108.11,6496053,0,1,108.5,108.71,107.9,108.11,6496053
10/11/17,107.7,108.59,107.6,108.44,6471800,0,1,107.7,108.59,107.6,108.44,6471800
10/10/17,107.58,107.6,106.82,107.31,4015643,0,1,107.58,107.6,106.82,107.31,4015643
10/9/17,106.6,107.65,106.54,107.01,4786861,0,1,106.6,107.65,106.54,107.01,4786861
10/6/17,106.29,106.96,105.87,106.73,4587001,0,1,106.29,106.96,105.87,106.73,4587001
10/5/17,105.6,106.25,105.15,106.24,4396081,0,1,105.6,106.25,105.15,106.24,4396081
10/4/17,105.71,105.74,104.8977,105.31,4146782,0,1,105.71,105.74,104.8977,105.31,4146782
10/3/17,105.65,105.9,105.29,105.59,4411058,0,1,105.65,105.9,105.29,105.59,4411058
10/2/17,105.54,105.99,105.1001,105.44,4885565,0,1,105.54,105.99,105.1001,105.44,4885565
9/29/17,104.75,105.43,104.685,105.24,7676088,0,1,104.75,105.43,104.685,105.24,7676088
9/28/17,103.75,104.98,103.74,104.58,5947289,0,1,103.75,104.98,103.74,104.58,5947289
9/27/17,103.07,104.12,102.9,103.89,8337411,0,1,103.07,104.12,102.9,103.89,8337411
9/26/17,103.11,104.02,102.88,102.94,6263508,0,1,103.11,104.02,102.88,102.94,6263508
9/25/17,105.5,105.6524,102.7499,103.02,9393518,0,1,105.5,105.6524,102.7499,103.02,9393518
9/22/17,105.21,105.68,105.06,105.56,4959132,0,1,105.21,105.68,105.06,105.56,4959132
9/21/17,105,105.61,104.65,105.31,4777163,0,1,105,105.61,104.65,105.31,4777163
9/20/17,105.5,105.765,104.461,104.97,8198294,0,1,105.5,105.765,104.461,104.97,8198294
9/19/17,105.13,105.93,104.83,105.41,9754341,0,1,105.13,105.93,104.83,105.41,9754341
9/18/17,105.35,105.52,104.62,104.83,7330304,0,1,105.35,105.52,104.62,104.83,7330304
9/15/17,105.74,106.14,104.95,105.3,12622921,0,1,105.74,106.14,104.95,105.3,12622921
9/14/17,105.5,106.835,105.5,106.08,8152916,0,1,105.5,106.835,105.5,106.08,8152916
9/13/17,106.26,106.26,105.24,105.83,6215736,0,1,106.26,106.26,105.24,105.83,6215736
9/12/17,106.64,106.6442,105.76,106.21,5212136,0,1,106.64,106.6442,105.76,106.21,5212136
9/11/17,105.48,106.15,105.15,106.15,6955980,0,1,105.48,106.15,105.15,106.15,6955980
9/8/17,104.33,104.77,104.06,104.43,5787188,0,1,104.33,104.77,104.06,104.43,5787188
9/7/17,103.71,105.44,103.61,104.56,6508316,0,1,103.71,105.44,103.61,104.56,6508316
9/6/17,103.34,103.745,103.1,103.18,6372227,0,1,103.34,103.745,103.1,103.18,6372227
9/5/17,103.4,103.46,102.26,103.01,6337523,0,1,103.4,103.46,102.26,103.01,6337523
9/1/17,104.04,104.08,103.44,103.9,4466772,0,1,104.04,104.08,103.44,103.9,4466772
8/31/17,104.06,104.19,103.025,103.52,13766043,0,1,104.06,104.19,103.025,103.52,13766043
8/30/17,103.7,104,103.52,103.73,8712708,0,1,103.7,104,103.52,103.73,8712708
8/29/17,102.92,104.07,102.64,103.77,7135312,0,1,102.92,104.07,102.64,103.77,7135312
8/28/17,103.65,103.83,103.2625,103.78,3918748,0,1,103.65,103.83,103.2625,103.78,3918748
8/25/17,103.65,103.88,103.155,103.35,4467738,0,1,103.65,103.88,103.155,103.35,4467738
8/24/17,103.32,103.5014,102.64,103.22,4082193,0,1,103.32,103.5014,102.64,103.22,4082193
8/23/17,103.77,103.97,102.99,103.18,5057189,0,1,103.77,103.97,102.99,103.18,5057189
8/22/17,103.44,104.2,103.14,104.07,5479144,0,1,103.44,104.2,103.14,104.07,5479144
8/21/17,102.62,103.35,102.33,103.22,5394932,0,1,102.62,103.35,102.33,103.22,5394932
8/18/17,102.08,103.09,101.94,102.51,5670884,0,1,102.08,103.09,101.94,102.51,5670884
8/17/17,103.33,103.5322,102.16,102.16,7381557,0,1,103.33,103.5322,102.16,102.16,7381557
8/16/17,102.76,103.93,102.64,103.32,13408092,0.165,1,102.76,103.93,102.64,103.32,13408092
8/15/17,102.36,102.78,101.97,102.63,5385990,0,1,102.1967937,102.6161241,101.8074156,102.4663632,5385990
8/14/17,100.98,102.11,100.75,101.87,5657604,0,1,100.8189941,101.9471923,100.5893608,101.707575,5657604
8/11/17,99.55,100.3,99.53,100.09,5268197,0,1,99.3912741,100.1400783,99.37130599,99.9304131,5268197
8/10/17,100.54,100.88,99.43,99.49,8559897,0,1,100.3796956,100.7191535,99.27146543,99.33136976,8559897
8/9/17,100.76,101.3,100.6,100.97,6902137,0,1,100.5993448,101.1384838,100.4395999,100.80901,6902137
